Fluid Name,Metal: Alloy-20,Metal: Aluminum,Metal: Brass,Metal: Bronze,Metal: Cast iron / Nodular iron,Metal: Cast Steel,Metal: Monel,Metal: Stainless steel EN-1.4301 (AISI-304),Metal: Stainless steel EN-1.4401 (AISI-316),Elastic: Buna-nitrile,Elastic: Butyl,Elastic: E.P.D.M.,Elastic: HYPALON ® Polyethylene chlorosulphonated,Elastic: KALREZ ® Perfluoroelastomer,Elastic: Natural rubber,Elastic: Neoprene,Elastic: Silicone,Elastic: TEFLON ® Polytetrafluorethylene,Elastic: VITON ® Fluorelastomer
Acetic acid ( evaporated ),A,B,C,B,D,D,A,A,A,D,B,A,B,E,C,B,D,A,D
Acetic acid ( gross ),A,B,C,C,C,C,A,B,A,D,B,A,B,E,C,B,D,A,D
Acetic acid ( pure ),A,B,C,C,C,C,A,B,A,D,B,A,B,E,C,B,D,A,D
Acetic acid ( vapors ),A,B,D,D,D,D,A,A,A,D,B,A,B,E,C,B,D,A,D
Acetic acid 10%,A,B,C,C,C,C,A,B,A,D,B,A,B,E,C,B,D,A,D
Acetic acid 80%,A,B,C,C,C,C,A,B,A,D,B,A,B,E,C,B,D,A,D
Acetic anhydride,B,B,D,C,D,D,A,B,B,C,B,A,A,E,A,C,D,A,D
Acetone alcohol,A,A,B,A,A,A,A,A,A,B,D,A,D,E,A,A,B,A,D
Acetonitrile,E,C,C,C,C,C,B,B,B,D,E,C,E,A,D,D,C,A,A
Acid mine water,A,C,D,B,C,D,A,C,C,A,D,A,B,E,B,A,D,A,C
Acrylonitrile,A,B,B,A,C,A,A,A,A,B,B,D,D,E,D,C,D,C,A
Agua fuerte,A,D,D,D,C,C,B,B,A,D,B,A,A,E,B,B,D,A,D
Alcohols,B,B,B,B,C,B,B,B,B,D,A,B,C,E,A,D,D,A,D
Alum,A,B,C,C,C,C,A,B,A,D,D,A,D,E,A,B,D,A,A
Aluminium Hydroxide,A,D,A,A,A,D,A,A,A,A,A,A,A,E,A,A,A,A,A
Aluminium sulphate,A,B,C,C,C,C,A,B,A,C,B,A,A,E,A,B,D,A,D
Aluminum chloride (dry),A,B,D,B,B,B,A,C,A,A,A,A,A,E,A,A,B,A,D
Aluminum chloride (wet),A,B,D,B,B,B,B,C,A,B,B,C,A,E,B,B,D,A,B
Amide,A,A,B,A,C,B,A,A,A,B,B,A,A,E,A,B,D,A,D
Ammonia,A,B,D,D,B,A,B,A,A,B,B,A,A,E,A,B,D,A,D
Ammonia solution,A,D,D,D,B,B,B,A,A,C,B,A,A,E,A,B,D,A,D
Ammonia water,A,B,D,D,A,A,B,A,A,D,D,B,D,E,B,D,D,B,D
Ammonium Bicarbonate,B,B,B,B,B,C,B,B,B,B,D,D,D,E,D,B,D,C,A
Ammonium carbonate,B,B,B,B,B,B,B,B,B,B,B,A,A,E,A,A,D,A,D
Ammonium chloride,C,C,D,D,D,C,B,C,C,B,A,A,A,E,A,A,B,A,B
Ammonium hydroxide 28%,B,C,D,D,C,C,D,B,B,D,B,A,A,E,B,B,D,A,D
Ammonium nitrate,A,B,D,D,D,D,D,A,A,C,B,A,A,E,A,B,D,A,D
Ammonium phosphate (dibasic),B,B,D,C,D,D,C,B,B,B,D,A,A,E,B,A,D,A,A
Ammonium phosphate (tribasic),B,B,D,C,D,D,C,B,B,B,D,A,A,E,B,A,D,A,A
Ammonium sulphate,B,B,C,B,C,C,C,B,B,C,B,A,A,E,A,B,D,A,D
Amyl acetate,D,A,C,C,C,C,B,B,B,C,B,A,A,E,C,D,B,A,D
Amylic alcohol,A,B,A,B,C,B,C,A,A,A,A,A,D,E,A,B,D,A,D
Anhydrous nitric acid,A,B,D,D,A,A,D,A,A,D,D,C,B,E,D,D,D,A,B
Aniline,B,C,C,C,C,C,B,B,B,C,D,A,A,E,C,D,D,A,D
Aniline (colors),A,C,C,C,C,C,A,A,A,C,D,A,A,E,C,D,D,A,D
Animal oil,A,A,A,A,A,A,A,A,A,A,D,D,D,E,D,D,C,A,A
Antimony trichloride,C,D,D,D,D,D,B,D,D,B,D,D,D,E,D,C,D,E,A
Apple juice,A,B,D,C,D,D,A,B,B,D,D,D,D,E,A,D,D,A,D
Arsenic acid,B,D,D,D,D,D,D,B,B,D,B,A,B,E,C,B,D,B,D
Asphalt emulsion,A,C,B,A,B,B,A,A,A,A,C,D,B,E,D,B,D,A,A
Barium carbonate,A,B,A,B,B,B,B,B,B,B,B,A,A,E,A,A,D,A,D
Barium chloride,C,D,A,B,C,C,B,C,C,B,A,A,A,E,A,A,D,A,D
Barium hydroxide,A,D,A,B,B,C,B,B,B,D,B,A,A,E,B,B,D,A,D
Barium sulfite,B,D,C,C,C,C,C,B,B,C,B,A,A,E,A,B,D,A,D
Barium sulphate,B,D,A,C,C,C,A,B,B,C,B,A,A,E,A,B,D,A,D
Beer,A,A,B,A,D,D,A,A,A,B,A,A,D,E,A,D,A,A,D
Benzaldehyde,A,A,A,A,B,A,A,A,A,B,D,D,D,E,D,B,D,C,A
Benzene,B,B,B,B,B,B,A,B,B,B,D,D,D,E,D,D,D,A,A
Benzine (acidic),A,A,B,B,B,B,A,A,A,A,D,D,D,E,D,B,D,A,A
Benzine (lead-free),A,A,A,A,B,A,A,A,A,A,D,D,D,E,D,B,D,A,A
Benzine (with traces of lead),A,A,A,A,B,A,A,A,A,A,D,D,D,E,D,B,D,A,A
Benzoic acid,A,B,C,B,D,D,A,B,B,D,B,A,A,E,A,B,D,A,D
Borax,A,C,B,A,C,C,A,B,B,B,B,A,A,E,B,A,D,A,D
Boric Acid,A,B,C,B,D,D,A,B,B,D,B,A,A,E,A,B,D,A,D
Brine,B,B,D,B,C,C,A,B,B,B,C,A,A,E,A,C,D,A,D
Bromine (dry),D,C,A,A,D,D,E,D,D,B,A,A,A,E,B,A,D,A,D
Bromine (wet),D,D,D,B,D,D,A,D,D,B,A,A,A,E,B,A,D,A,D
Butadiene,A,A,A,C,B,B,B,A,A,A,D,R,C,E,D,C,D,A,D
Butane,B,A,A,A,B,B,C,B,B,A,D,B,C,E,D,C,D,A,A
Butyl alcohol,A,B,B,B,C,B,C,A,A,D,A,B,C,E,A,D,D,A,D
Butylene,A,A,A,A,A,A,B,A,A,A,D,B,C,E,D,C,D,A,A
Butyric acid,A,A,C,C,D,D,B,B,B,D,B,A,A,E,A,B,D,A,D
Calcium Hydroxide,B,C,B,A,C,C,A,B,B,D,B,A,A,E,B,B,D,A,D
Calcium bisulfate,A,C,D,B,D,D,B,C,B,D,A,A,A,E,B,B,D,A,D
Calcium carbonate,A,C,C,C,D,D,B,B,B,B,B,A,A,E,A,A,D,A,D
Calcium chloride,B,C,D,B,C,C,A,C,B,B,A,A,A,E,A,A,D,A,D
Calcium hypochlorite,C,C,D,D,D,D,C,C,C,D,B,A,A,E,A,B,D,A,D
Calcium sulphate,B,B,D,C,C,C,B,B,B,C,B,A,A,E,A,B,D,A,D
Carbolic acid,A,A,B,B,D,D,B,B,B,D,B,A,A,E,A,B,D,A,D
Carbon dioxide,A,A,A,A,B,A,A,A,A,C,B,A,A,E,A,C,D,A,D
Carbon dioxide (dry),A,A,A,A,B,A,A,A,A,C,B,A,A,E,A,C,D,A,D
Carbon dioxide (wet),A,A,C,B,A,B,A,A,A,C,B,A,A,E,A,C,D,A,D
